GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Altitude (GPS)(m),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine Coolant Temperature(°C),Fuel pressure(kPa),Intake Manifold Pressure(kPa),Engine RPM(rpm),Speed (OBD)(km/h),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Timing Advance(°),Throttle Position(%),Fuel Level(%),Voltage(V),Miles Per Gallon (diesel support in pro version)(mpg),Turbo Boost Gauge (full support in pro version)(psi),Miles Per Gallon(Average) (diesel support in pro version)(mpg),Kilometers Per Litre(kpl),Kilometers Per Litre(Average)(kpl),Trip Distance(km),Trip average MPG(mpg),Trip average KPL(kpl),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Ambient air temp(°C),Barometric pressure(kPa),Litres Per 100 Kilometer(l/100km),Litres Per 100 Kilometer(Average)(l/100km)
Sat Mar 07 08:08:15 MEZ 2015,07-Mär.-2015 08:08:14.040,6.0967675,50.77796616,0.0,4.0,203.0,0.0,-0.26396075,-8.649054,4.5663414,0.016352832,0.0,203.0,0.016352832317352295,0.3654782176017761,47.05882263183594,19.0,-,100.0,955.5,3.0,9.720000267028809,8.0,-,83.52941131591797,-,14.720000267028809,2.193621873855591,-0.1962261199951172,1.7998113632202148,0.9325963854789734,0.7651717662811279,0.019234539940953255,-,-,-0.026907313615083694,-0.88165682554245,5.0,101.0,107.2265853881836,130.68846130371094
Sat Mar 07 08:08:16 MEZ 2015,07-Mär.-2015 08:08:15.041,6.09676533,50.7779653,0.0,4.0,203.0,0.0,0.035314474,-7.777564,5.2522798,-0.024323344,0.0,203.0,-0.024323344230651855,0.4354005753993988,58.431373596191406,19.0,-,100.0,912.0,5.0,10.489999771118164,8.0,-,83.52941131591797,-,14.760000228881836,3.38767147064209,-0.1962261199951172,2.466189384460449,1.440234661102295,1.048475742340088,0.019415035843849182,-,-,0.0035998444072902203,-0.7928199768066406,5.0,101.0,69.43252563476563,95.37571716308594
Sat Mar 07 08:08:17 MEZ 2015,07-Mär.-2015 08:08:16.043,6.09677062,50.77796939,1.0,4.0,203.0,39.4,0.23523031,-9.338584,4.7764325,0.08850497,3.5999999046325684,203.0,0.08850497007369995,0.38689422607421875,42.74509811401367,20.0,-,100.0,1009.5,6.0,10.130000114440918,9.0,-,83.52941131591797,-,14.800000190734863,4.209675312042236,-0.1962261199951172,2.8148865699768066,1.7897013425827026,1.196720838546753,0.02000344730913639,-,-,0.023978624492883682,-0.9519453048706055,5.0,101.0,55.874755859375,83.56094360351563
Sat Mar 07 08:08:18 MEZ 2015,07-Mär.-2015 08:08:17.048,6.09673817,50.77797785,1.0,5.0,209.0,24.6,-0.31304187,-9.19972,4.0659533,0.04479426,3.5999999046325684,209.0,0.04479426145553589,0.3144702613353729,26.27450942993164,20.0,-,100.0,965.0,2.0,7.659999847412109,9.0,-,83.52941131591797,-,14.800000190734863,1.855700969696045,-0.1962261199951172,2.655022382736206,0.7889326810836792,1.1287561655044556,0.02247815579175949,-,-,-0.0319104827940464,-0.937790036201477,5.0,101.0,126.7524185180664,88.59231567382813
Sat Mar 07 08:08:19 MEZ 2015,07-Mär.-2015 08:08:18.041,6.0966813,50.77799847,0.75,5.0,210.0,24.6,0.10414778,-8.89805,4.477157,0.034441292,2.6999998092651367,210.0,0.03444129228591919,0.35638704895973206,27.45098114013672,20.0,-,100.0,899.5,0.0,7.46999979019165,7.0,-,83.52941131591797,-,14.779999732971191,0.0,-0.1962261199951172,2.655022382736206,0.0,1.1287561655044556,0.027098890393972397,-,-,0.010616490617394447,-0.9070387482643127,5.0,101.0,Infinity,88.59231567382813
Sat Mar 07 08:08:20 MEZ 2015,07-Mär.-2015 08:08:19.061,6.09663331,50.77801361,0.0,4.0,209.0,0.0,0.20350714,-8.991425,3.4153287,-3.299117E-4,0.0,209.0,-3.299117088317871E-4,0.24814768135547638,67.8431396484375,20.0,-,100.0,906.5,0.0,7.880000114440918,7.0,-,83.52941131591797,-,14.84000015258789,0.0,-0.1962261199951172,2.655022382736206,0.0,1.1287561655044556,0.03087959997355938,-,-,0.020744865760207176,-0.9165570139884949,5.0,101.0,Infinity,88.59231567382813
Sat Mar 07 08:08:21 MEZ 2015,07-Mär.-2015 08:08:20.048,6.09663251,50.7780122,0.25,5.0,208.0,24.6,0.17776948,-9.621099,3.7259765,0.07087737,0.8999999761581421,208.0,0.0439034104347229,0.2269757241010666,85.88235473632813,20.0,-,100.0,917.0,5.0,12.520000457763672,10.0,-,83.52941131591797,-,14.859999656677246,2.838392496109009,-0.1962261199951172,2.5127480030059814,1.206714153289795,1.0682696104049683,0.031046293675899506,-,-,0.018121251836419106,-0.9807440638542175,5.0,101.0,82.86894226074219,93.60850524902344
Sat Mar 07 08:08:22 MEZ 2015,07-Mär.-2015 08:08:21.055,6.09660798,50.77800491,1.25,5.0,208.0,184.2,0.073621705,-9.082404,4.006098,0.03092128,4.5,208.0,0.043852150440216064,0.292322039604187,64.31372833251953,20.0,-,100.0,1227.5,9.0,15.520000457763672,10.0,-,83.52941131591797,-,14.859999656677246,4.121521472930908,-0.1962261199951172,2.691500663757324,1.7522236108779907,1.144264578819275,0.03295707702636719,-,-,0.02934788353741169,-0.9463319778442383,5.0,101.0,57.06984329223633,87.39160919189453
Sat Mar 07 08:08:23 MEZ 2015,07-Mär.-2015 08:08:22.055,6.09662391,50.7779704,2.5,4.0,211.0,173.2,0.010175358,-8.935161,4.104859,0.021340191,9.0,211.0,0.02134019136428833,0.3184361755847931,64.31372833251953,20.0,-,104.0,1883.5,15.0,19.489999771118164,13.0,-,83.52941131591797,-,14.859999656677246,4.375988483428955,0.3839254379272461,2.691500663757324,1.8604077100753784,1.144264578819275,0.03695715218782425,-,-,0.0010372432880103588,-0.9108216166496277,5.0,101.0,53.751190185546875,81.87236022949219
Sat Mar 07 08:08:24 MEZ 2015,07-Mär.-2015 08:08:23.041,6.09663177,50.77792803,3.25,4.0,213.0,183.3,0.37948096,-8.675988,4.586692,0.020134151,11.699999809265137,213.0,0.007794678211212158,0.3679797947406769,49.01960754394531,20.0,-,113.0,1897.0,16.0,26.3799991607666,14.0,-,30.980392456054688,-,14.859999656677246,4.310741424560547,1.689265251159668,3.0036513805389404,1.8326685428619385,1.2769722938537598,0.04170305281877518,-,-,0.03416801616549492,-0.8703691363334656,5.0,101.0,54.564762115478516,78.3095474243164
