gps_time,device_time,long,lat,gps_speed_ms,Horizontal Dilution of Precision,altitude, Bearing, G(x), G(y), G(z), G(calibrated),gps_speed_kmh,Altitude (GPS)(m),g_total,Acceleration Sensor(Z axis)(g),engine_load,Engine Coolant Temperature(°C),Fuel pressure(kPa),Intake Manifold Pressure(kPa),engine_rpm,speed_obd_kmh,Mass Air Flow Rate(g/s),intake_air_temperature,Timing Advance(°),throttle_position,fuel_level,Voltage(V),kpl,kpl_avg,trip_distance,Trip average MPG(mpg),Trip average KPL(kpl),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Ambient air temp(°C),Barometric pressure(kPa),Litres Per 100 Kilometer(l/100km),Litres Per 100 Kilometer(Average)(l/100km)
Sat Mar 07 11:56:06 MEZ 2015,07-Mär.-2015 11:56:05.474,6.04668564,50.77887101,0.0,3.0,244.0,0.0,-0.81402856,-9.886856,2.6036944,0.06449479,0.0,244.0,0.064494788646698,0.1654122769832611,35.686275482177734,33.0,-,102.0,989.5,3.0,8.300000190734863,32.0,-,83.52941131591797,-,14.579999923706055,1.092149019241333,1.1722931861877441,0.05191534385085106,-,-,-0.0829794630408287,-1.0078344345092773,14.0,100.0,91.5617904663086,85.3021469116211
Sat Mar 07 11:56:07 MEZ 2015,07-Mär.-2015 11:56:06.476,6.0466833,50.77886748,0.75,3.0,244.0,23.4,-0.4961983,-9.498397,2.421735,0.01949054,2.6999998092651367,244.0,0.019490540027618408,0.1468639224767685,28.235294342041016,33.0,-,102.0,973.5,3.0,7.71999979019165,31.0,-,83.52941131591797,-,14.579999923706055,1.1742016077041626,1.1726747751235962,0.05234130844473839,-,-,-0.050580862909555435,-0.9682361483573914,14.0,100.0,85.16350555419922,85.27438354492188
Sat Mar 07 11:56:08 MEZ 2015,07-Mär.-2015 11:56:07.500,6.04667537,50.77885971,0.75,3.0,245.0,23.4,-0.25857377,-9.61691,2.6557682,0.036352336,2.6999998092651367,245.0,0.036352336406707764,0.17072050273418427,29.019607543945313,32.0,-,102.0,868.0,2.0,7.659999847412109,29.0,-,83.52941131591797,-,14.579999923706055,0.7889326810836792,1.108717918395996,0.053370848298072815,-,-,-0.02635818161070347,-0.9803169965744019,14.0,100.0,126.7524185180664,90.1934814453125
Sat Mar 07 11:56:09 MEZ 2015,07-Mär.-2015 11:56:08.475,6.0466716,50.77885457,0.5,3.0,245.0,23.4,-0.07062895,-9.46009,3.0669725,0.0327695,1.7999999523162842,245.0,0.03276950120925903,0.21263734996318817,30.19607925415039,32.0,-,101.0,837.5,0.0,7.409999847412109,28.0,-,83.52941131591797,-,14.5600004196167,0.0,1.108717918395996,0.054001446813344955,-,-,-0.0071996888145804405,-0.9643312096595764,14.0,100.0,Infinity,90.1934814453125
Sat Mar 07 11:56:10 MEZ 2015,07-Mär.-2015 11:56:09.495,6.04667282,50.77885407,0.0,3.0,245.0,0.0,0.06584055,-9.414001,2.947861,0.024603426,0.0,245.0,0.024603426456451416,0.20049551129341125,33.33333206176758,32.0,-,101.0,828.5,0.0,7.940000057220459,28.0,-,83.52941131591797,-,14.5600004196167,0.0,1.108717918395996,0.05410390719771385,-,-,0.006711574736982584,-0.9596331119537354,14.0,100.0,Infinity,90.1934814453125
Sat Mar 07 11:56:11 MEZ 2015,07-Mär.-2015 11:56:10.473,6.04667467,50.77885188,0.0,3.0,245.0,0.0,0.076614454,-9.494805,2.391209,0.03741449,0.0,245.0,0.037414491176605225,0.1624835878610611,35.29411697387695,32.0,-,101.0,966.5,0.0,8.720000267028809,29.0,-,83.52941131591797,-,14.579999923706055,0.0,1.108717918395996,0.054380275309085846,-,-,0.007626789156347513,-0.9839777946472168,14.0,100.0,Infinity,90.1934814453125
Sat Mar 07 11:56:12 MEZ 2015,07-Mär.-2015 11:56:11.473,6.04667514,50.77884892,0.0,3.0,245.0,0.0,0.75237787,-9.724648,1.6825253,0.027946413,0.0,245.0,0.027946412563323975,0.07151123881340027,70.5882339477539,32.0,-,101.0,906.5,1.0,9.489999771118164,30.0,-,83.52941131591797,-,14.619999885559082,0.3183996081352234,1.108717918395996,0.054711222648620605,-,-,0.07669498771429062,-0.9912995100021362,14.0,100.0,314.0679931640625,90.1934814453125
Sat Mar 07 11:56:13 MEZ 2015,07-Mär.-2015 11:56:12.477,6.04667086,50.77885191,0.75,3.0,245.0,23.4,0.61411273,-8.787917,2.9999347,-0.032361984,2.6999998092651367,245.0,-0.03236198425292969,0.2058037370443344,30.58823585510254,32.0,-,102.0,1120.5,6.0,11.15999984741211,31.0,-,83.52941131591797,-,14.579999923706055,1.6245226860046387,1.1090277433395386,0.05516040325164795,-,-,0.06260068714618683,-0.8958120942115784,14.0,100.0,61.55600357055664,90.16828155517578
Sat Mar 07 11:56:14 MEZ 2015,07-Mär.-2015 11:56:13.474,6.04665705,50.77885754,1.25,3.0,245.0,296.4,0.6039374,-9.207501,3.5733461,0.013719678,4.5,245.0,0.013719677925109863,0.23008742928504944,28.235294342041016,32.0,-,102.0,973.0,6.0,7.579999923706055,33.0,-,83.52941131591797,-,14.619999885559082,2.391777515411377,1.2693713903427124,0.05631841719150543,-,-,0.05375361070036888,-0.9368137717247009,14.0,100.0,41.80954360961914,78.77845764160156
Sat Mar 07 11:56:15 MEZ 2015,07-Mär.-2015 11:56:14.492,6.04664049,50.77886057,1.5,4.0,245.0,285.3,1.6166847,-9.616311,2.042254,0.03457862,5.399999618530273,245.0,0.03457862138748169,0.10818083584308624,30.58823585510254,32.0,-,102.0,991.0,7.0,13.079999923706055,29.0,-,83.52941131591797,-,14.619999885559082,1.6170707941055298,1.3080047369003296,0.057534072548151016,-,-,0.16479966044425964,-0.9802559018135071,14.0,100.0,61.83967208862305,76.45166015625
