long,lat,gps_speed_ms,gps_speed_kmh,altitude,g_total,engine_load,engine_rpm,throttle_position,intake_air_temperature,fuel_level,kpl,kpl_avg,trip_distance,gps_time,device_time
6.09670996,50.7777322,5.75,20.69999885559082,212.0,0.034225285053253174,54.509803771972656,1645.0,83.52941131591797,12.0,,3.8410327434539795,1.7683815956115723,0.06427645683288574,Sat Mar 07 08:08:28 MEZ 2015,07Mär.2015 08:08:27.056
6.09675251,50.77766661,6.75,24.299999237060547,212.0,0.03303247690200806,39.607845306396484,1695.0,83.52941131591797,12.0,,4.654143333435059,1.927346110343933,0.07216605544090271,Sat Mar 07 08:08:29 MEZ 2015,07Mär.2015 08:08:28.039
6.09679228,50.77760347,7.25,26.099998474121094,213.0,0.022883832454681396,20.0,1696.0,83.52941131591797,11.0,,5.9202656745910645,2.17690372467041,0.07972940802574158,Sat Mar 07 08:08:30 MEZ 2015,07Mär.2015 08:08:29.044
6.0968057,50.7775455,7.0,25.19999885559082,214.0,0.031688392162323,3.9215686321258545,1596.0,83.52941131591797,9.0,,6.177060604095459,2.4122068881988525,0.08624731749296188,Sat Mar 07 08:08:31 MEZ 2015,07Mär.2015 08:08:30.078
6.09683903,50.77748096,6.75,24.299999237060547,213.0,0.027450382709503174,0.0,1490.0,83.52941131591797,9.0,,6.22733736038208,2.6241586208343506,0.0938020795583725,Sat Mar 07 08:08:32 MEZ 2015,07Mär.2015 08:08:31.036
6.09686332,50.77743017,6.0,21.599998474121094,213.0,0.012595653533935547,0.0,1314.5,83.52941131591797,8.0,,6.124889850616455,2.6241586208343506,0.09970620274543762,Sat Mar 07 08:08:33 MEZ 2015,07Mär.2015 08:08:32.037
6.09687613,50.77739389,5.5,19.799999237060547,210.0,8.40306282043457E4,0.0,1217.0,83.52941131591797,6.0,,6.0837836265563965,2.976797342300415,0.10384203493595123,Sat Mar 07 08:08:34 MEZ 2015,07Mär.2015 08:08:33.050
6.09689001,50.77733587,5.25,18.899999618530273,212.0,0.06835764646530151,1.9607843160629272,1016.0,83.52941131591797,5.0,,6.560333251953125,2.976797342300415,0.11037023365497589,Sat Mar 07 08:08:35 MEZ 2015,07Mär.2015 08:08:34.049
6.0968886,50.77731565,4.5,16.19999885559082,210.0,0.029794156551361084,8.627450942993164,946.5,83.52941131591797,5.0,,6.428962230682373,3.2931387424468994,0.11262178421020508,Sat Mar 07 08:08:36 MEZ 2015,07Mär.2015 08:08:35.038
6.09690734,50.77726478,4.5,16.19999885559082,212.0,0.06707542389631271,23.52941131591797,927.0,83.52941131591797,5.0,,5.465448379516602,3.387587308883667,0.11843308806419373,Sat Mar 07 08:08:37 MEZ 2015,07Mär.2015 08:08:36.051
6.09691484,50.77723636,4.25,15.299999237060547,213.0,0.036594510078430176,35.686275482177734,901.5,83.52941131591797,6.0,,4.879622936248779,3.4497554302215576,0.12163859605789185,Sat Mar 07 08:08:38 MEZ 2015,07Mär.2015 08:08:37.037
6.09692138,50.77719883,3.75,13.5,213.0,0.04665488004684448,36.47058868408203,999.0,83.52941131591797,7.0,,4.113189697265625,3.517047166824341,0.1258389949798584,Sat Mar 07 08:08:39 MEZ 2015,07Mär.2015 08:08:38.038
6.0969148,50.77716893,3.75,13.5,215.0,0.04706376791000366,28.235294342041016,945.0,83.52941131591797,7.0,,4.715601921081543,3.517047166824341,0.12919741868972778,Sat Mar 07 08:08:40 MEZ 2015,07Mär.2015 08:08:39.038
6.09692001,50.77714187,3.5,12.59999942779541,214.0,0.020850002765655518,28.235294342041016,947.5,83.52941131591797,6.0,,3.9521679878234863,3.540440559387207,0.1322300285100937,Sat Mar 07 08:08:41 MEZ 2015,07Mär.2015 08:08:40.054
6.0969217,50.7770918,3.75,13.5,213.0,0.21416455507278442,89.80392456054688,805.0,83.52941131591797,7.0,,2.832761526107788,3.5151662826538086,0.13780128955841064,Sat Mar 07 08:08:42 MEZ 2015,07Mär.2015 08:08:41.055
6.09688356,50.7770811,2.25,8.09999942779541,213.0,0.08161121606826782,89.4117660522461,1031.0,83.52941131591797,12.0,,2.9605510234832764,3.4899845123291016,0.14074301719665527,Sat Mar 07 08:08:43 MEZ 2015,07Mär.2015 08:08:42.039
6.09683061,50.77705847,3.5,12.59999942779541,212.0,0.1160706877708435,84.31372833251953,1138.0,83.52941131591797,12.0,,2.8858096599578857,3.469845771789551,0.14524701237678528,Sat Mar 07 08:08:44 MEZ 2015,07Mär.2015 08:08:43.040
6.09673941,50.7770495,4.75,17.100000381469727,211.0,0.03145402669906616,84.70588684082031,1418.0,83.52941131591797,12.0,,2.785571575164795,3.4477720260620117,0.15175661444664001,Sat Mar 07 08:08:45 MEZ 2015,07Mär.2015 08:08:44.037
6.0966602,50.77703848,5.25,18.899999618530273,210.0,0.011098742485046387,74.50980377197266,1588.0,83.52941131591797,13.0,,2.2299721240997314,3.4097158908843994,0.1574764996767044,Sat Mar 07 08:08:46 MEZ 2015,07Mär.2015 08:08:45.039
6.09653416,50.7770254,7.0,25.19999885559082,209.0,0.025360524654388428,13.333333969116211,1705.5,30.980392456054688,14.0,,2.7815728187561035,3.390681266784668,0.16648484766483307,Sat Mar 07 08:08:47 MEZ 2015,07Mär.2015 08:08:46.050
6.09641364,50.77699976,7.25,26.099998474121094,210.0,0.029037415981292725,85.09803771972656,1166.5,81.5686264038086,13.0,,3.9006521701812744,3.4411933422088623,0.17545132339000702,Sat Mar 07 08:08:48 MEZ 2015,07Mär.2015 08:08:47.037
6.09631943,50.77697118,7.75,27.899999618530273,211.0,0.0018869638442993164,75.686279296875,1262.0,83.52941131591797,11.0,,4.179269790649414,3.4616949558258057,0.1828177273273468,Sat Mar 07 08:08:49 MEZ 2015,07Mär.2015 08:08:48.045
6.09619289,50.77694164,8.5,30.599998474121094,212.0,0.022334635257720947,56.078433990478516,1309.5,83.52941131591797,12.0,,5.493841171264648,3.516617774963379,0.1923287957906723,Sat Mar 07 08:08:50 MEZ 2015,07Mär.2015 08:08:49.038
