long,lat,gps_speed_ms,gps_speed_kmh,speed_obd_kmh,altitude,g_total,engine_load,engine_rpm,throttle_position,intake_air_temperature,fuel_level,kpl,kpl_avg,trip_distance,gps_time,device_time
6.0431314,50.7790287,10.0,36.0,36.0,246.0,0.06687110662460327,51.37255096435547,1052.5,83.52941131591797,27.0,,9.721004486083984,5.917990684509277,0.3092234134674072,Sat Mar 07 11:56:47 MEZ 2015,07Mär.2015 11:56:46.474
6.04297971,50.77904266,10.0,36.0,36.0,246.0,0.08911675214767456,52.156864166259766,1052.5,83.52941131591797,27.0,,9.970489501953125,6.019303321838379,0.32003432512283325,Sat Mar 07 11:56:48 MEZ 2015,07Mär.2015 11:56:47.474
6.04284502,50.77905502,10.0,36.0,36.0,246.0,0.02756577730178833,52.54901885986328,1051.5,83.52941131591797,27.0,,9.897910118103027,6.108534336090088,0.32963308691978455,Sat Mar 07 11:56:49 MEZ 2015,07Mär.2015 11:56:48.475
6.04269944,50.77905884,10.0,36.0,36.0,246.0,0.029302656650543213,54.509803771972656,1042.5,83.52941131591797,27.0,,9.997982025146484,6.2011399269104,0.33990970253944397,Sat Mar 07 11:56:50 MEZ 2015,07Mär.2015 11:56:49.474
6.04256324,50.77906646,10.0,36.0,35.0,246.0,0.01855003833770752,54.90196228027344,1025.5,83.52941131591797,27.0,,10.072041511535645,6.2011399269104,0.34955328702926636,Sat Mar 07 11:56:51 MEZ 2015,07Mär.2015 11:56:50.478
6.04241349,50.77907192,10.0,36.0,35.0,247.0,0.06004840135574341,56.47058868408203,1016.0,83.52941131591797,27.0,,9.666950225830078,6.359281063079834,0.36013269424438477,Sat Mar 07 11:56:52 MEZ 2015,07Mär.2015 11:56:51.474
6.04228195,50.77907541,9.5,34.20000076293945,34.0,246.0,0.034797847270965576,60.0,987.0,83.52941131591797,27.0,,9.44253921508789,6.359281063079834,0.3694183826446533,Sat Mar 07 11:56:53 MEZ 2015,07Mär.2015 11:56:52.472
6.04215352,50.77907644,9.5,34.20000076293945,33.0,247.0,0.027287304401397705,60.7843132019043,973.0,83.52941131591797,26.0,,9.181694984436035,6.431527137756348,0.3784773349761963,Sat Mar 07 11:56:54 MEZ 2015,07Mär.2015 11:56:53.475
6.04201869,50.7790763,9.5,34.20000076293945,33.0,247.0,0.04900413751602173,65.49019622802734,955.5,83.52941131591797,26.0,,9.207128524780273,6.491866111755371,0.3879869878292084,Sat Mar 07 11:56:55 MEZ 2015,07Mär.2015 11:56:54.474
6.04187747,50.77907625,9.25,33.29999923706055,32.0,247.0,0.051571667194366455,67.05882263183594,930.5,83.52941131591797,26.0,,8.57955551147461,6.545737266540527,0.3979473114013672,Sat Mar 07 11:56:56 MEZ 2015,07Mär.2015 11:56:55.473
